20190101 193700;1.145430;1.145510;1.145430;1.145490;0
20190101 193800;1.145500;1.145520;1.145490;1.145520;0
20190101 193900;1.145520;1.145520;1.145460;1.145460;0
20190101 194000;1.145470;1.145520;1.145470;1.145510;0
20190101 194100;1.145510;1.145560;1.145510;1.145550;0
20190101 194200;1.145560;1.145570;1.145500;1.145500;0
20190101 194300;1.145500;1.145600;1.145470;1.145600;0
20190101 194400;1.145600;1.145620;1.145560;1.145590;0
20190101 194500;1.145580;1.145600;1.145560;1.145580;0
20190101 194600;1.145580;1.145600;1.145570;1.145580;0
20190101 194700;1.145590;1.145610;1.145560;1.145600;0
20190101 194800;1.145600;1.145610;1.145560;1.145580;0
20190101 194900;1.145580;1.145610;1.145580;1.145600;0
20190101 195000;1.145600;1.145610;1.145600;1.145600;0
20190101 195100;1.145610;1.145610;1.145550;1.145550;0
20190101 195200;1.145560;1.145600;1.145530;1.145600;0
20190101 195300;1.145610;1.145610;1.145600;1.145600;0
20190101 195400;1.145600;1.145610;1.145560;1.145600;0
20190101 195500;1.145600;1.145610;1.145560;1.145560;0
20190101 195600;1.145570;1.145610;1.145560;1.145600;0
20190101 195700;1.145640;1.145640;1.145600;1.145600;0
20190101 195800;1.145600;1.145610;1.145600;1.145610;0
20190101 195900;1.145600;1.145610;1.145600;1.145610;0
20190101 200000;1.145610;1.145630;1.145590;1.145630;0
20190101 200100;1.145630;1.145630;1.145460;1.145460;0
20190101 200200;1.145470;1.145530;1.145450;1.145510;0
20190101 200300;1.145510;1.145540;1.145230;1.145310;0
20190101 200400;1.145310;1.145420;1.145310;1.145420;0
20190101 200500;1.145420;1.145430;1.145250;1.145330;0
20190101 200600;1.145340;1.145370;1.145260;1.145270;0
20190101 200700;1.145260;1.145310;1.145220;1.145310;0
20190101 200800;1.145290;1.145360;1.145230;1.145350;0
20190101 200900;1.145340;1.145340;1.145210;1.145220;0
20190101 201000;1.145210;1.145230;1.145100;1.145160;0
20190101 201100;1.145160;1.145210;1.145100;1.145140;0
20190101 201200;1.145130;1.145140;1.145060;1.145140;0
20190101 201300;1.145120;1.145120;1.145010;1.145110;0
20190101 201400;1.145120;1.145170;1.145100;1.145110;0
20190101 201500;1.145120;1.145360;1.145120;1.145310;0
20190101 201600;1.145310;1.145370;1.145310;1.145310;0
20190101 201700;1.145310;1.145330;1.145290;1.145320;0
20190101 201800;1.145320;1.145320;1.145280;1.145320;0
20190101 201900;1.145320;1.145420;1.145270;1.145410;0
20190101 202000;1.145410;1.145440;1.145410;1.145410;0
20190101 202100;1.145420;1.145460;1.145410;1.145460;0
20190101 202200;1.145460;1.145490;1.145460;1.145470;0
20190101 202300;1.145470;1.145470;1.145410;1.145420;0
20190101 202400;1.145430;1.145430;1.145410;1.145410;0
20190101 202500;1.145410;1.145420;1.145300;1.145320;0
20190101 202600;1.145320;1.145370;1.145320;1.145330;0
20190101 202700;1.145330;1.145370;1.145310;1.145310;0
20190101 202800;1.145310;1.145310;1.145250;1.145260;0
20190101 202900;1.145260;1.145290;1.145210;1.145230;0
20190101 203000;1.145220;1.145330;1.145210;1.145260;0
20190101 203100;1.145260;1.145350;1.145260;1.145310;0
20190101 203200;1.145310;1.145320;1.145210;1.145210;0
20190101 203300;1.145230;1.145260;1.145140;1.145260;0
20190101 203400;1.145250;1.145280;1.145150;1.145260;0
20190101 203500;1.145260;1.145360;1.145260;1.145350;0
20190101 203600;1.145360;1.145360;1.145300;1.145310;0
20190101 203700;1.145330;1.145340;1.145230;1.145280;0
20190101 203800;1.145280;1.145300;1.145250;1.145260;0
20190101 203900;1.145270;1.145280;1.145150;1.145210;0
20190101 204000;1.145200;1.145310;1.145200;1.145270;0
20190101 204100;1.145270;1.145320;1.145260;1.145270;0
20190101 204200;1.145270;1.145310;1.145270;1.145310;0
20190101 204300;1.145300;1.145320;1.145280;1.145310;0
20190101 204400;1.145320;1.145370;1.145310;1.145360;0
20190101 204500;1.145380;1.145380;1.145000;1.145040;0
20190101 204600;1.145040;1.145110;1.145020;1.145040;0
20190101 204700;1.145030;1.145040;1.144980;1.144980;0
20190101 204800;1.145000;1.145000;1.144920;1.144940;0
20190101 204900;1.144940;1.144960;1.144750;1.144860;0
20190101 205000;1.144850;1.144910;1.144710;1.144760;0
20190101 205100;1.144770;1.144800;1.144700;1.144760;0
20190101 205200;1.144760;1.144810;1.144730;1.144810;0
20190101 205300;1.144800;1.144850;1.144750;1.144810;0
20190101 205400;1.144810;1.144810;1.144570;1.144710;0
20190101 205500;1.144720;1.144870;1.144650;1.144870;0
20190101 205600;1.144870;1.144990;1.144840;1.144980;0
20190101 205700;1.144980;1.145050;1.144970;1.145040;0
20190101 205800;1.145040;1.145090;1.145000;1.145020;0
20190101 205900;1.145060;1.145230;1.145060;1.145210;0
20190101 210000;1.145210;1.145240;1.145060;1.145120;0
20190101 210100;1.145120;1.145270;1.145120;1.145200;0
20190101 210200;1.145210;1.145310;1.145190;1.145270;0
20190101 210300;1.145270;1.145330;1.145190;1.145200;0
20190101 210400;1.145210;1.145280;1.145210;1.145270;0
20190101 210500;1.145260;1.145270;1.145190;1.145190;0
20190101 210600;1.145210;1.145280;1.145160;1.145240;0
